STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,50,37,46,39,44,40,,,,,,,,,24,55,46,33,46,28,49,46,41,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,48,34,42,37,43,41,,,,,,,,,28,52,43,35,49,31,47,44,45,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,45,34,43,36,40,40,,,,,,,,,34,52,46,36,51,33,45,40,44,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,44,41,45,35,38,41,,,,,,,,,34,52,48,44,44,31,43,38,45,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,39,43,38,40,40,,,,,,,,,40,52,52,47,40,27,42,36,47,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,42,41,39,41,48,42,,,,,,,,,48,48,50,41,39,33,41,36,45,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,39,39,38,41,48,44,,,,,,,,,50,52,52,41,39,35,46,31,44,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,40,38,37,43,46,41,,,,,,,,,50,52,48,42,37,37,43,27,42,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,39,37,41,46,45,37,,,,,,,,,49,53,48,45,40,37,44,31,47,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,43,37,46,46,47,35,,,,,,,,,45,47,52,49,40,41,44,36,44,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,41,35,44,46,46,41,,,,,,,,,44,47,51,51,42,40,43,42,46,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,40,42,43,44,46,42,,,,,,,,,44,49,52,48,46,38,41,42,42,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,40,44,46,43,48,43,,,,,,,,,44,48,49,44,38,38,40,42,45,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,44,45,44,38,,,,,,,,,43,50,47,44,32,40,41,44,43,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,48,45,43,46,43,42,,,,,,,,,45,49,43,43,31,40,48,42,43,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,46,48,50,46,45,41,,,,,,,,,43,47,42,43,31,39,45,46,38,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,44,44,49,45,52,43,,,,,,,,,40,47,45,41,31,39,45,49,33,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,42,40,41,47,45,,,,,,,,,42,43,44,38,30,40,45,44,29,31
