STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-27,53,35,28,33,58,43,39,40,36,30,49,51,48,49,53,37,49,50,51,51,37,27,43,50,29,50,48,38,51,41,45,41,29,49,46,51,51,41,53,54,54,48,48,37,53,54,47,55,36,40,50,44,47,44,36,50,48,53,48,52,40,42,49,50,44,42,49,52,58,54,48,43,51,46,45,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-28,53,41,25,27,53,49,43,38,36,37,52,45,54,41,55,35,47,53,55,56,36,22,45,43,30,51,45,36,57,40,43,41,29,48,44,51,52,40,49,47,51,46,45,44,53,49,50,51,35,52,57,48,48,43,35,51,49,55,47,50,37,46,55,52,44,43,52,54,56,52,57,51,53,47,50,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-29,42,40,24,32,53,48,40,49,34,36,52,48,59,51,52,33,48,50,51,54,35,27,45,48,34,43,46,39,48,39,46,43,31,46,47,56,48,43,50,52,49,52,42,40,60,52,46,56,27,52,57,53,52,47,34,49,53,47,52,40,40,47,56,48,49,47,52,54,49,48,52,54,51,47,52,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-30,47,38,22,33,51,51,48,48,33,39,46,42,57,54,50,32,45,52,49,45,38,30,46,52,35,45,43,37,47,47,47,43,38,42,50,54,49,38,54,50,39,52,42,42,59,55,52,56,32,53,55,40,47,44,41,54,51,51,54,48,43,49,48,44,47,48,47,47,46,45,47,51,51,50,53,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-31,35,37,20,33,51,54,55,47,35,42,50,44,61,52,57,34,49,48,50,42,40,40,49,54,35,46,47,37,45,51,46,40,38,42,46,54,42,43,58,46,35,39,41,48,59,55,49,58,36,52,59,43,50,47,41,54,43,54,50,48,42,45,49,44,49,49,46,45,45,44,45,54,59,50,46,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-01,39,37,27,40,50,47,50,44,40,37,58,45,52,50,63,42,50,46,49,46,48,39,50,48,35,46,47,46,40,54,46,40,54,46,45,55,50,36,55,52,38,32,45,57,49,56,51,54,39,49,56,44,49,50,45,49,44,53,50,49,41,43,49,46,48,53,46,49,45,43,46,50,55,50,45,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-02,43,33,30,47,49,47,41,43,38,36,54,44,47,52,64,55,49,42,50,50,55,42,48,46,38,49,47,45,38,52,50,37,51,47,45,56,48,37,54,44,40,18,49,57,50,57,44,50,39,44,51,49,46,48,51,48,46,59,51,44,42,52,54,51,47,43,48,52,50,44,53,48,44,46,43,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-03,38,35,35,45,50,51,58,43,45,40,53,46,49,48,54,58,54,45,53,51,54,47,48,44,40,42,47,49,46,53,53,41,52,50,46,53,45,35,53,54,43,20,51,54,63,51,41,55,40,54,49,45,59,47,47,46,49,51,58,42,39,55,50,49,58,48,41,50,47,40,51,42,43,50,48,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-04,39,33,41,48,51,45,48,46,39,41,59,48,53,54,53,60,52,52,54,52,51,45,42,43,39,43,50,43,42,57,62,49,51,49,38,50,51,32,50,54,47,31,44,58,57,63,48,57,51,53,51,48,55,52,48,45,46,50,53,54,41,63,57,50,60,51,37,51,49,46,55,32,41,48,48,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-05,36,35,43,45,50,47,51,44,41,42,52,48,51,57,51,60,43,50,52,48,47,41,41,44,41,43,44,46,45,55,59,48,52,47,44,52,55,37,48,62,49,34,43,51,47,57,42,57,54,49,58,44,56,44,45,45,46,44,49,45,45,49,58,47,57,50,31,56,52,41,50,34,50,52,47,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-06,43,37,40,41,51,52,54,48,42,41,53,44,52,53,49,62,45,46,49,47,54,42,54,42,48,47,47,45,48,57,59,52,48,44,44,48,54,42,48,58,47,40,40,56,46,64,38,52,53,46,58,51,57,42,50,48,49,43,52,48,42,44,56,50,61,51,29,58,48,37,48,37,51,50,49,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-07,43,38,46,52,47,51,58,48,46,41,56,42,52,51,57,66,41,48,49,47,60,44,65,46,52,52,47,46,52,60,52,47,50,44,45,48,60,41,47,53,49,43,39,57,43,64,38,54,53,44,62,43,52,41,45,44,46,46,60,52,45,42,49,48,60,49,38,54,52,38,54,39,52,48,52,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-08,44,41,44,54,51,45,46,47,42,42,52,35,51,51,55,68,45,50,49,48,55,48,65,49,51,50,49,43,50,58,57,50,47,46,44,45,55,40,46,64,50,48,43,62,52,64,36,58,56,40,51,43,49,37,47,39,46,48,53,53,45,44,49,46,50,46,42,59,59,40,53,37,48,45,47,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-09,45,43,45,57,51,45,41,41,40,45,49,40,46,55,54,60,49,46,47,47,62,46,57,47,44,45,41,51,47,57,50,49,47,45,38,50,53,39,45,61,47,51,49,46,57,52,49,57,50,44,49,38,49,47,53,39,44,49,53,57,51,41,46,45,52,47,39,56,63,56,49,33,48,45,54,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-10,39,43,42,57,60,46,45,46,42,44,52,38,49,50,47,65,49,44,44,50,57,51,59,53,49,41,43,45,45,56,45,45,46,40,42,51,49,42,45,61,50,49,51,49,59,56,45,46,59,48,50,41,48,47,49,43,48,51,58,56,47,39,44,47,55,48,50,55,56,48,46,36,48,43,49,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-11,46,37,44,48,50,47,42,50,46,46,55,40,46,54,50,62,44,44,45,49,54,51,54,56,46,48,45,44,48,54,46,51,43,43,43,59,48,51,46,58,52,49,50,52,56,55,47,44,60,43,49,49,48,49,44,50,61,55,58,54,49,46,54,47,48,47,54,55,55,49,46,38,48,38,51,48
